Match,Player,Team,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
BALresults/0GdqWorn.csv,Omot N.,ALA,28,6,3,31:07,7,12,4,7,3,5,11,12,28,1,5,3,2,5,0,0,0
BALresults/0GdqWorn.csv,Ganapamo E.,CAP,26,4,2,35:15,10,20,10,18,0,2,6,9,-18,1,3,3,4,5,0,0,0
BALresults/0GdqWorn.csv,Gbinije M.,CAP,18,5,3,36:20,5,12,4,6,1,6,7,7,-18,1,4,2,1,5,1,0,0
BALresults/0GdqWorn.csv,Thompson M.,ALA,17,1,4,29:35,6,10,3,4,3,6,2,2,17,0,1,1,1,1,0,0,0
BALresults/0GdqWorn.csv,Cele S.,CAP,12,6,2,30:49,6,10,6,10,0,0,0,0,1,1,5,1,2,2,1,0,0
BALresults/0GdqWorn.csv,Oraby O.,ALA,12,5,0,21:44,4,6,4,6,0,0,4,4,5,1,4,5,1,3,2,1,0
BALresults/0GdqWorn.csv,Saleh E. A.,ALA,11,5,8,24:14,4,10,3,5,1,5,2,2,18,0,5,0,4,1,0,0,0
BALresults/0GdqWorn.csv,Zahran A.,ALA,10,4,2,12:45,5,8,5,8,0,0,0,0,26,2,2,4,0,1,1,0,0
BALresults/0GdqWorn.csv,Hall J.,CAP,9,4,0,23:04,4,9,4,7,0,2,1,3,-8,1,3,4,0,0,0,2,0
BALresults/0GdqWorn.csv,Prinsloo P.,CAP,8,3,1,32:30,3,8,1,2,2,6,0,0,-17,3,0,4,1,1,1,1,0
BALresults/0GdqWorn.csv,Webster C.,ALA,6,3,3,20:49,3,10,3,8,0,2,0,0,-13,0,3,3,1,3,0,1,0
BALresults/0GdqWorn.csv,Aboelnasr M.,ALA,3,4,0,22:55,1,2,0,1,1,1,0,0,5,2,2,2,0,1,0,0,0
BALresults/0GdqWorn.csv,El Gendy A.,ALA,3,1,0,9:42,1,2,0,0,1,2,0,0,-5,0,1,0,0,0,0,0,0
BALresults/0GdqWorn.csv,Wade Z.,CAP,2,5,4,34:32,1,7,1,3,0,4,0,0,-21,1,4,3,1,4,0,0,0
BALresults/0GdqWorn.csv,Sarhan M.,ALA,1,1,0,8:05,0,1,0,0,0,1,1,2,-8,0,1,2,0,0,0,0,0
BALresults/0GdqWorn.csv,Said S.,ALA,0,4,0,19:04,0,2,0,1,0,1,0,0,7,1,3,2,0,2,0,1,0
BALresults/0GdqWorn.csv,Sibanyoni N.,CAP,0,1,0,7:31,0,2,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0
BALresults/0p01tg83.csv,Prinsloo P.,CAP,19,10,4,38:39,5,13,3,6,2,7,7,10,-3,2,8,4,0,2,3,1,0
BALresults/0p01tg83.csv,Cele S.,CAP,18,4,3,32:52,6,13,5,9,1,4,5,8,-12,1,3,4,1,2,0,2,0
BALresults/0p01tg83.csv,Diarra A.,STA,18,13,1,25:09,9,15,9,15,0,0,0,4,22,4,9,3,1,2,3,1,0
BALresults/0p01tg83.csv,Wilkins J. W.,STA,18,4,0,27:02,6,13,2,4,4,9,2,2,8,0,4,2,0,0,1,0,0
BALresults/0p01tg83.csv,Smith M.,CAP,17,4,1,37:53,6,20,3,12,3,8,2,2,-10,0,4,2,1,6,0,4,0
BALresults/0p01tg83.csv,Gbinije M.,CAP,10,13,5,37:40,4,12,2,5,2,7,0,0,-11,2,11,4,2,6,0,1,0
BALresults/0p01tg83.csv,Amayo K.,STA,8,1,6,28:19,4,7,4,5,0,2,0,1,10,1,0,2,5,3,2,0,0
BALresults/0p01tg83.csv,Berthe S.,STA,8,5,4,29:21,2,13,2,7,0,6,4,7,8,1,4,3,1,1,0,1,0
BALresults/0p01tg83.csv,Chinyelu R.,STA,7,11,0,20:48,3,5,3,5,0,0,1,2,-14,4,7,3,0,5,4,0,0
BALresults/0p01tg83.csv,Keita M.,STA,7,3,0,17:20,2,5,1,1,1,4,2,3,3,0,3,1,2,2,0,0,0
BALresults/0p01tg83.csv,Musongela P.,CAP,5,5,1,21:48,2,6,1,2,1,4,0,0,1,1,4,0,1,3,0,1,0
BALresults/0p01tg83.csv,Pare M.,STA,5,2,0,7:01,2,2,1,1,1,1,0,0,2,0,2,2,0,0,0,0,0
BALresults/0p01tg83.csv,Foster G. C.,STA,4,4,7,27:04,2,6,2,6,0,0,0,0,12,0,4,3,3,4,0,1,0
BALresults/0p01tg83.csv,Traore N.,STA,2,0,0,5:00,1,3,1,1,0,2,0,0,-3,0,0,1,0,0,0,0,0
